code,system
H330000,readv2
H330100,readv2
H330z00,readv2
H330.00,readv2
H33zz00,readv2
H331.11,readv2
H332.00,readv2
173d.00,readv2
173c.00,readv2
H330.14,readv2
H330.12,readv2
H33z.00,readv2
H33z000,readv2
H33..11,readv2
1O2..00,readv2
H33..00,readv2
14B4.00,readv2
H33z.11,readv2
H33z200,readv2
H334.00,readv2
H333.00,readv2
18207.0,readv2
11370.0,readv2
41017.0,readv2
1208.0,readv2
78.0,readv2
45073.0,readv2
29325.0,readv2
12987.0,readv2
45782.0,readv2
5867.0,readv2
2290.0,readv2
3665.0,readv2
5627.0,readv2
7731.0,readv2
5798.0,readv2
4606.0,readv2
27926.0,readv2
22752.0,readv2
25796.0,readv2
40823.0,readv2
185.0,readv2
58196.0,readv2
4442.0,readv2
5267.0,readv2
18323.0,readv2
232.0,readv2
7146.0,readv2
16070.0,readv2
8335.0,readv2
15248.0,readv2
6707.0,readv2
14777.0,readv2
73522.0,readv2
21232.0,readv2
233.0,readv2
32727.0,readv2
1555.0,readv2
4892.0,readv2
106805.0,readv2
J45,readv2
H331111,readv2
H33z111,readv2
H33z011,readv2
H33z100,readv2
H330111,readv2
H33zz13,readv2
H331z00,readv2
H331000,readv2
H331.00,readv2
H331100,readv2
212G.00,readv2
2126200.0,readv2
H335.00,readv2
H312000,readv2
H330.13,readv2
H330011,readv2
H33zz11,readv2
173A.00,readv2
H33zz12,readv2
H330.11,readv2
1780.00,readv2
11839.0,readv2
10996.0,readv2
719.0,readv2
J46,readv2